trip_id,start_loc,start_time,end_loc,end_time,distance_km,energy_min_pct,energy_max_pct,energy_probabilities
B0,M27204,240,A035,274,8.5,2,9,0.0775;0.1260;0.1703;0.1909;0.1753;0.1314;0.0831;0.0455
B1,A035,244,M27204,278,8.5,7,14,0.0657;0.1088;0.1515;0.1793;0.1792;0.1481;0.1045;0.0629
B2,M27204,248,A035,282,8.5,1,7,0.0471;0.1176;0.2035;0.2475;0.2076;0.1237;0.0530
B3,A035,252,M27204,286,8.5,2,9,0.0650;0.1177;0.1716;0.1990;0.1868;0.1369;0.0817;0.0413
B4,M27204,256,A035,290,8.5,3,8,0.0673;0.1605;0.2540;0.2628;0.1762;0.0792
B5,A035,260,M27204,294,8.5,2,7,0.0649;0.1539;0.2453;0.2624;0.1848;0.0887
B6,M27204,264,A035,298,8.5,2,10,0.0420;0.0790;0.1223;0.1603;0.1785;0.1643;0.1255;0.0819;0.0462
B7,A035,268,M27204,302,8.5,2,9,0.0413;0.0907;0.1520;0.1994;0.2047;0.1615;0.1007;0.0497
B8,M27204,272,A035,306,8.5,2,7,0.1157;0.2049;0.2552;0.2234;0.1373;0.0635
B9,A035,276,M27204,310,8.5,2,8,0.0476;0.1119;0.1911;0.2358;0.2110;0.1367;0.0659
B10,M27204,280,A035,314,8.5,3,10,0.0761;0.1196;0.1600;0.1812;0.1733;0.1381;0.0951;0.0566
B11,A035,284,M27204,318,8.5,2,7,0.0982;0.1875;0.2522;0.2371;0.1532;0.0718
B12,M27204,288,A035,322,8.5,2,10,0.0446;0.0811;0.1233;0.1588;0.1762;0.1617;0.1246;0.0825;0.0472
B13,A035,292,M27204,326,8.5,2,6,0.0880;0.2104;0.3049;0.2607;0.1360
B14,M27204,296,A035,330,8.5,2,7,0.0939;0.1698;0.2288;0.2328;0.1746;0.1001
B15,A035,301,M27204,335,8.5,1,8,0.0494;0.0946;0.1506;0.1905;0.1948;0.1582;0.1049;0.0570
B16,M27204,306,A035,340,8.5,1,7,0.0659;0.1271;0.1898;0.2200;0.1940;0.1320;0.0712
