test,type,epsilon,sigma^min,sigma^low,sigma^up,sigma^max,UB,LB,gap(%),#Ebs,BBn,CPU_total,CPU_root,CPU_pricing
I1_1,worst-case,0,0,20,80,80,4282.6,4281.9,0.02,4,41,4.2,2,3.3
I1_1,optimistic,0,0,20,80,80,4258.6,4258.2,0.01,4,163,6.2,1.6,4.5
I1_1,stochastic,0.001,0,20,80,80,4275.2,4274.6,0.01,4,124,12.6,5.9,11.1
I1_1,stochastic,0.005,0,20,80,80,4274.8,4274.3,0.01,4,98,23.1,5.6,20.1
I1_1,stochastic,0.01,0,20,80,80,4273.6,4273.6,0,4,41,7.4,5.7,6.8
I1_1,stochastic,0.05,0,20,80,80,4273.6,4273.6,0,4,40,6.8,5.6,6.2
I1_1,stochastic,0.1,0,20,80,80,4273.6,4273.6,0,4,44,7.3,5.8,6.7
I1_1,stochastic,0.15,0,20,80,80,4273.6,4273.6,0,4,32,7,5.6,6.5
I1_1,stochastic,0.2,0,20,80,80,4273.6,4273.6,0,4,44,7.5,5.8,6.9
I1_1,stochastic,0.25,0,20,80,80,4273.6,4273.6,0,4,40,7.5,5.8,7
I1_1,stochastic,0.3,0,20,80,80,4273.6,4273.6,0,4,41,7.1,5.5,6.6
I1_1,stochastic,0.4,0,20,80,80,4273.6,4273.6,0,4,46,7,5.3,6.5
I1_1,stochastic,0.5,0,20,80,80,4273.6,4273.6,0,4,42,6.4,5.1,5.9
I1_1,worst-case,0,0,30,80,80,4294.6,4294.6,0,4,47,2.9,1.8,2.3
I1_1,optimistic,0,0,30,80,80,4268.2,4268.2,0,4,40,3,1.8,2.3
I1_1,stochastic,0.001,0,30,80,80,4283,4282.9,0,4,46,6.6,4.1,6
I1_1,stochastic,0.005,0,30,80,80,4282.2,4279.3,0.07,4,122,22.4,4.6,19.7
I1_1,stochastic,0.01,0,30,80,80,4278.4,4277.6,0.02,4,269,108.2,4.4,96.1
I1_1,stochastic,0.05,0,30,80,80,4276.8,4276.8,0,4,46,7.8,5.6,7.2
I1_1,stochastic,0.1,0,30,80,80,4276,4276,0,4,42,8.6,7.1,8
I1_1,stochastic,0.15,0,30,80,80,4276,4275.4,0.01,4,141,31.2,13,28.7
I1_1,stochastic,0.2,0,30,80,80,4276,4275.2,0.02,4,121,32.1,13.2,29.7
I1_1,stochastic,0.25,0,30,80,80,4276,4274.9,0.03,4,212,38.1,13.2,34.5
I1_1,stochastic,0.3,0,30,80,80,4276,4274.7,0.03,4,198,39.3,17.6,36.2
I1_1,stochastic,0.4,0,30,80,80,4275.6,4274,0.04,4,207,30.9,5.5,27.6
I1_1,stochastic,0.5,0,30,80,80,4274.8,4273.7,0.03,4,56,8.4,5.6,7.7
I1_2,worst-case,0,0,20,80,80,4302.2,4302.2,0,4,51,3,1.7,2.4
I1_2,optimistic,0,0,20,80,80,3290.2,3290.2,0,3,47,2.4,1.5,1.9
I1_2,stochastic,0.001,0,20,80,80,4295.4,4295,0.01,4,150,16.6,6.5,14.5
I1_2,stochastic,0.005,0,20,80,80,4295.4,4294.8,0.01,4,136,19.2,5.5,16.8
I1_2,stochastic,0.01,0,20,80,80,4295.4,4294.7,0.02,4,134,14.4,4.9,12.7
I1_2,stochastic,0.05,0,20,80,80,4295,4291.9,0.07,4,54,8.5,4.7,7.8
I1_2,stochastic,0.1,0,20,80,80,4295,4291.9,0.07,4,59,7.6,4.6,6.9
I1_2,stochastic,0.15,0,20,80,80,4295,4291.9,0.07,4,56,8.2,5,7.7
